"subjID" "Trial" "level1_choice" "level2_choice" "reward" "transition" "Stay" "PrReward" "PrTransition" "RT1" "RT2"
"114" 42 2 2 0 -1 1 0 1 227 235
"114" 43 1 1 1 1 0 0 -1 269 221
"114" 44 1 1 1 1 1 1 1 253 304
"114" 45 1 3 1 -1 1 1 1 281 340
"114" 46 1 1 0 1 1 1 -1 206 231
"114" 47 2 4 0 1 0 0 1 261 192
"114" 48 1 1 1 1 0 0 1 252 213
"114" 49 1 1 0 1 1 1 1 293 310
"114" 50 2 2 1 -1 0 0 1 290 182
"114" 51 2 4 0 1 1 1 -1 299 324
"114" 52 1 1 1 1 0 0 1 71 333
"114" 53 1 1 1 1 1 1 1 293 357
"114" 54 1 3 1 -1 1 1 1 263 273
"114" 55 1 1 0 1 1 1 -1 253 9
"114" 56 2 4 0 1 0 0 1 0 470
"114" 57 1 1 1 1 0 0 1 246 238
"114" 58 1 1 0 1 1 1 1 296 389
"114" 59 2 4 1 1 0 0 1 265 287
"114" 60 2 4 0 1 1 1 1 267 303
"114" 61 1 3 0 -1 0 0 1 264 183
"114" 62 1 3 1 -1 1 0 -1 251 270
"114" 63 1 3 0 -1 1 1 -1 275 304
"114" 64 2 4 1 1 0 0 -1 255 240
"114" 65 2 4 0 1 1 1 1 255 285
"114" 66 1 1 1 1 0 0 1 274 337
"114" 67 1 1 1 1 1 1 1 328 497
"114" 68 1 3 1 -1 1 1 1 600 433
"114" 69 1 1 1 1 1 1 -1 287 481
"114" 70 1 1 0 1 1 1 1 250 269
"114" 72 1 1 0 1 1 0 1 960 421
"114" 73 1 1 0 1 1 0 1 251 223
"114" 75 2 2 0 -1 0 0 1 1256 131
"114" 76 2 4 1 1 1 0 -1 336 337
"114" 77 2 4 1 1 1 1 1 325 251
"114" 78 2 2 1 -1 1 1 1 279 409
"114" 79 2 4 0 1 1 1 -1 299 335
"114" 80 1 3 1 -1 0 0 1 242 265
"114" 81 1 1 0 1 1 1 -1 292 422
"114" 82 2 4 0 1 0 0 1 257 256
"114" 83 1 1 0 1 0 0 1 264 181
"114" 84 1 1 1 1 1 0 1 279 187
"114" 85 1 3 1 -1 1 1 1 298 257
"114" 86 1 3 1 -1 1 1 -1 357 242
"114" 87 1 1 0 1 1 1 -1 229 348
"114" 88 2 4 1 1 0 0 1 306 268
"114" 89 2 4 1 1 1 1 1 320 309
"114" 90 2 4 0 1 1 1 1 258 232
"114" 91 1 1 0 1 0 0 1 281 255
"114" 92 2 4 1 1 0 0 1 293 209
"114" 93 2 4 1 1 1 1 1 348 272
"114" 94 2 4 0 1 1 1 1 270 268
"114" 95 1 3 0 -1 0 0 1 249 212
"114" 96 2 2 1 -1 0 0 -1 329 237
"114" 97 2 4 1 1 1 1 -1 289 257
"114" 98 2 4 0 1 1 1 1 289 390
"114" 99 1 1 0 1 0 0 1 254 280
"114" 100 2 2 0 -1 0 0 1 269 306
"114" 101 2 4 0 1 1 0 -1 270 281
"114" 102 1 3 1 -1 0 0 1 306 217
"114" 103 1 3 1 -1 1 1 -1 310 274
"114" 104 1 3 0 -1 1 1 -1 329 257
"114" 105 2 4 1 1 0 0 -1 276 241
"114" 106 2 2 1 -1 1 1 1 314 218
"114" 107 2 4 1 1 1 1 -1 294 189
"114" 108 2 4 1 1 1 1 1 312 238
"114" 109 2 2 0 -1 1 1 1 233 250
"114" 110 1 1 0 1 0 0 -1 278 233
"114" 111 2 4 1 1 0 0 1 215 166
"114" 112 2 4 1 1 1 1 1 267 214
"114" 113 2 4 1 1 1 1 1 279 400
"114" 114 2 4 0 1 1 1 1 257 456
"114" 115 1 1 1 1 0 0 1 540 206
"114" 116 1 1 0 1 1 1 1 251 227
"114" 117 2 2 0 -1 0 0 1 236 646
"114" 118 1 3 1 -1 0 0 -1 266 179
"114" 119 1 1 1 1 1 1 -1 278 243
"114" 120 1 3 1 -1 1 1 1 235 235
"114" 121 1 3 1 -1 1 1 -1 281 233
"114" 122 1 3 1 -1 1 1 -1 360 315
"114" 123 1 3 1 -1 1 1 -1 281 208
"114" 124 1 1 1 1 1 1 -1 230 474
"114" 125 1 1 0 1 1 1 1 348 236
"114" 126 2 4 1 1 0 0 1 262 227
"114" 127 2 2 0 -1 1 1 1 251 305
"114" 128 1 1 0 1 0 0 -1 211 647
"114" 129 2 2 0 -1 0 0 1 300 207
"114" 130 2 4 0 1 1 0 -1 294 201
"114" 131 1 1 1 1 0 0 1 300 39
"114" 132 1 1 0 1 1 1 1 340 644
"114" 133 1 1 1 1 1 0 1 261 246
"114" 134 1 3 0 -1 1 1 1 316 286
